SELECT table_name, column_name, data_type
FROM information_schema.columns
WHERE table_schema = 'public'
ORDER BY table_name, ordinal_position;

| table_name                    | column_name                 | data_type                   |
| ----------------------------- | --------------------------- | --------------------------- |
| activity_action_types         | action_type                 | text                        |
| activity_action_types         | domain                      | text                        |
| activity_action_types         | description                 | text                        |
| activitylogs                  | log_id                      | bigint                      |
| activitylogs                  | user_id                     | bigint                      |
| activitylogs                  | action_type                 | character varying           |
| activitylogs                  | entity_type                 | character varying           |
| activitylogs                  | entity_id                   | bigint                      |
| activitylogs                  | old_value                   | jsonb                       |
| activitylogs                  | new_value                   | jsonb                       |
| activitylogs                  | timestamp                   | timestamp without time zone |
| activitylogs_view             | log_id                      | bigint                      |
| activitylogs_view             | user_id                     | bigint                      |
| activitylogs_view             | action_type                 | character varying           |
| activitylogs_view             | entity_type                 | character varying           |
| activitylogs_view             | entity_id                   | bigint                      |
| activitylogs_view             | old_value                   | jsonb                       |
| activitylogs_view             | new_value                   | jsonb                       |
| activitylogs_view             | timestamp                   | timestamp without time zone |
| activitylogs_view             | user_name                   | text                        |
| birthhistory                  | birthhistory_id             | bigint                      |
| birthhistory                  | patient_id                  | bigint                      |
| birthhistory                  | birth_weight                | numeric                     |
| birthhistory                  | birth_length                | numeric                     |
| birthhistory                  | place_of_birth              | character varying           |
| birthhistory                  | address_at_birth            | text                        |
| birthhistory                  | time_of_birth               | time without time zone      |
| birthhistory                  | attendant_at_birth          | character varying           |
| birthhistory                  | type_of_delivery            | character varying           |
| birthhistory                  | ballards_score              | integer                     |
| birthhistory                  | hearing_test_date           | date                        |
| birthhistory                  | newborn_screening_date      | date                        |
| birthhistory                  | newborn_screening_result    | character varying           |
| birthhistory                  | is_deleted                  | boolean                     |
| birthhistory                  | deleted_at                  | timestamp without time zone |
| birthhistory                  | deleted_by                  | bigint                      |
| birthhistory                  | created_at                  | timestamp with time zone    |
| birthhistory                  | created_by                  | bigint                      |
| birthhistory                  | updated_at                  | timestamp with time zone    |
| birthhistory                  | updated_by                  | bigint                      |
| conversationparticipants      | conversation_participant_id | bigint                      |
| conversationparticipants      | conversation_id             | bigint                      |
| conversationparticipants      | user_id                     | bigint                      |
| conversationparticipants      | joined_at                   | timestamp without time zone |
| conversationparticipants      | left_at                     | timestamp without time zone |
| conversationparticipants      | is_deleted                  | boolean                     |
| conversationparticipants      | deleted_at                  | timestamp without time zone |
| conversationparticipants      | deleted_by                  | bigint                      |
| conversationparticipants      | created_at                  | timestamp with time zone    |
| conversationparticipants      | created_by                  | bigint                      |
| conversationparticipants      | updated_at                  | timestamp with time zone    |
| conversationparticipants      | updated_by                  | bigint                      |
| conversations                 | conversation_id             | bigint                      |
| conversations                 | subject                     | character varying           |
| conversations                 | created_by                  | bigint                      |
| conversations                 | created_at                  | timestamp without time zone |
| conversations                 | is_deleted                  | boolean                     |
| conversations                 | deleted_at                  | timestamp without time zone |
| conversations                 | deleted_by                  | bigint                      |
| conversations                 | updated_at                  | timestamp with time zone    |
| conversations                 | updated_by                  | bigint                      |
| conversations_view            | conversation_id             | bigint                      |
| conversations_view            | subject                     | character varying           |
| conversations_view            | created_by                  | bigint                      |
| conversations_view            | created_at                  | timestamp without time zone |
| conversations_view            | participants                | json                        |
| conversations_view            | latest_message              | text                        |
| conversations_view            | latest_message_time         | timestamp without time zone |
| dashboard_view                | total_patients              | bigint                      |
| dashboard_view                | total_healthworkers         | bigint                      |
| dashboard_view                | total_nurses                | bigint                      |
| dashboard_view                | total_nutritionists         | bigint                      |
| dashboard_view                | total_guardians             | bigint                      |
| dashboard_view                | total_vaccine_stock         | bigint                      |
| dashboard_view                | total_defaulters            | bigint                      |
| dashboard_view                | total_due_soon              | bigint                      |
| defaulters_view               | patient_id                  | bigint                      |
| defaulters_view               | patient_name                | text                        |
| defaulters_view               | guardian_name               | text                        |
| defaulters_view               | contact_number              | character varying           |
| defaulters_view               | barangay                    | character varying           |
| defaulters_view               | vaccine_id                  | bigint                      |
| defaulters_view               | next_due_antigen            | character varying           |
| defaulters_view               | dose_number                 | integer                     |
| defaulters_view               | scheduled_date              | date                        |
| defaulters_view               | status                      | character varying           |
| defaulters_view               | days_overdue                | integer                     |
| deworming                     | deworming_id                | bigint                      |
| deworming                     | visit_id                    | bigint                      |
| deworming                     | administered_by             | bigint                      |
| deworming                     | remarks                     | text                        |
| deworming                     | is_deleted                  | boolean                     |
| deworming                     | deleted_at                  | timestamp without time zone |
| deworming                     | deleted_by                  | bigint                      |
| deworming                     | created_at                  | timestamp with time zone    |
| deworming                     | created_by                  | bigint                      |
| deworming                     | updated_at                  | timestamp with time zone    |
| deworming                     | updated_by                  | bigint                      |
| deworming_history             | history_id                  | bigint                      |
| deworming_history             | deworming_id                | bigint                      |
| deworming_history             | version_no                  | integer                     |
| deworming_history             | changed_at                  | timestamp with time zone    |
| deworming_history             | changed_by                  | bigint                      |
| deworming_history             | changed_fields              | jsonb                       |
| deworming_history             | snapshot                    | jsonb                       |
| duesoon_view                  | patient_id                  | bigint                      |
| duesoon_view                  | patient_name                | text                        |
| duesoon_view                  | guardian_contact            | character varying           |
| duesoon_view                  | antigen_name                | character varying           |
| duesoon_view                  | dose_number                 | integer                     |
| duesoon_view                  | scheduled_date              | date                        |
| duesoon_view                  | days_until_due              | integer                     |
| guardians                     | guardian_id                 | bigint                      |
| guardians                     | surname                     | character varying           |
| guardians                     | firstname                   | character varying           |
| guardians                     | middlename                  | character varying           |
| guardians                     | birthdate                   | date                        |
| guardians                     | address                     | text                        |
| guardians                     | occupation                  | character varying           |
| guardians                     | contact_number              | character varying           |
| guardians                     | alternative_contact_number  | character varying           |
| guardians                     | email                       | character varying           |
| guardians                     | relationship_to_patient     | character varying           |
| guardians                     | family_number               | character varying           |
| guardians                     | date_registered             | timestamp without time zone |
| guardians                     | user_id                     | bigint                      |
| guardians                     | is_deleted                  | boolean                     |
| guardians                     | deleted_at                  | timestamp without time zone |
| guardians                     | deleted_by                  | bigint                      |
| guardians                     | created_at                  | timestamp with time zone    |
| guardians                     | created_by                  | bigint                      |
| guardians                     | updated_at                  | timestamp with time zone    |
| guardians                     | updated_by                  | bigint                      |
| immunizationhistory_view      | patient_id                  | bigint                      |
| immunizationhistory_view      | patient_name                | text                        |
| immunizationhistory_view      | vaccine_id                  | bigint                      |
| immunizationhistory_view      | antigen_name                | character varying           |
| immunizationhistory_view      | dose_number                 | integer                     |
| immunizationhistory_view      | immunization_date           | date                        |
| immunizationhistory_view      | administered_by             | text                        |
| immunizationhistory_view      | remarks                     | text                        |
| immunizationhistory_view      | inventory_id                | bigint                      |
| immunizations                 | immunization_id             | bigint                      |
| immunizations                 | visit_id                    | bigint                      |
| immunizations                 | vaccine_id                  | bigint                      |
| immunizations                 | inventory_id                | bigint                      |
| immunizations                 | dose_number                 | integer                     |
| immunizations                 | administered_by             | bigint                      |
| immunizations                 | remarks                     | text                        |
| immunizations                 | is_deleted                  | boolean                     |
| immunizations                 | deleted_at                  | timestamp without time zone |
| immunizations                 | deleted_by                  | bigint                      |
| immunizations                 | created_at                  | timestamp with time zone    |
| immunizations                 | created_by                  | bigint                      |
| immunizations                 | updated_at                  | timestamp with time zone    |
| immunizations                 | updated_by                  | bigint                      |
| immunizations_history         | history_id                  | bigint                      |
| immunizations_history         | immunization_id             | bigint                      |
| immunizations_history         | version_no                  | integer                     |
| immunizations_history         | changed_at                  | timestamp with time zone    |
| immunizations_history         | changed_by                  | bigint                      |
| immunizations_history         | changed_fields              | jsonb                       |
| immunizations_history         | snapshot                    | jsonb                       |
| inventory                     | inventory_id                | bigint                      |
| inventory                     | vaccine_id                  | bigint                      |
| inventory                     | lot_number                  | character varying           |
| inventory                     | expiration_date             | date                        |
| inventory                     | current_stock_level         | integer                     |
| inventory                     | is_deleted                  | boolean                     |
| inventory                     | deleted_at                  | timestamp without time zone |
| inventory                     | deleted_by                  | bigint                      |
| inventory                     | received_date               | timestamp with time zone    |
| inventory                     | initial_quantity            | integer                     |
| inventory                     | storage_location            | text                        |
| inventory                     | created_at                  | timestamp with time zone    |
| inventory                     | created_by                  | bigint                      |
| inventory                     | updated_at                  | timestamp with time zone    |
| inventory                     | updated_by                  | bigint                      |
| inventory_history             | history_id                  | bigint                      |
| inventory_history             | inventory_id                | bigint                      |
| inventory_history             | version_no                  | integer                     |
| inventory_history             | changed_at                  | timestamp with time zone    |
| inventory_history             | changed_by                  | bigint                      |
| inventory_history             | changed_fields              | jsonb                       |
| inventory_history             | snapshot                    | jsonb                       |
| inventory_requests            | request_id                  | bigint                      |
| inventory_requests            | inventory_id                | bigint                      |
| inventory_requests            | request_type                | character varying           |
| inventory_requests            | quantity                    | integer                     |
| inventory_requests            | requested_by                | bigint                      |
| inventory_requests            | approved_by                 | bigint                      |
| inventory_requests            | status                      | character varying           |
| inventory_requests            | remarks                     | text                        |
| inventory_requests            | requested_at                | timestamp without time zone |
| inventory_requests            | approved_at                 | timestamp without time zone |
| inventory_requests            | created_at                  | timestamp with time zone    |
| inventory_requests            | created_by                  | bigint                      |
| inventory_requests            | updated_at                  | timestamp with time zone    |
| inventory_requests            | updated_by                  | bigint                      |
| inventory_requests            | is_deleted                  | boolean                     |
| inventory_requests            | deleted_at                  | timestamp with time zone    |
| inventory_requests            | deleted_by                  | bigint                      |
| inventory_requests            | decision_at                 | timestamp with time zone    |
| inventory_requests            | decision_by                 | bigint                      |
| inventory_requests            | decision_remarks            | text                        |
| inventory_requests_history    | history_id                  | bigint                      |
| inventory_requests_history    | request_id                  | bigint                      |
| inventory_requests_history    | version_no                  | integer                     |
| inventory_requests_history    | changed_at                  | timestamp with time zone    |
| inventory_requests_history    | changed_by                  | bigint                      |
| inventory_requests_history    | changed_fields              | jsonb                       |
| inventory_requests_history    | snapshot                    | jsonb                       |
| inventorylowstock_view        | vaccine_id                  | bigint                      |
| inventorylowstock_view        | antigen_name                | character varying           |
| inventorylowstock_view        | brand_name                  | character varying           |
| inventorylowstock_view        | current_stock_level         | integer                     |
| inventorylowstock_view        | minimum_threshold           | integer                     |
| inventorylowstock_view        | expiration_soon_count       | bigint                      |
| inventorytransactions         | transaction_id              | bigint                      |
| inventorytransactions         | inventory_id                | bigint                      |
| inventorytransactions         | transaction_type            | USER-DEFINED                |
| inventorytransactions         | quantity                    | integer                     |
| inventorytransactions         | date                        | timestamp without time zone |
| inventorytransactions         | remarks                     | text                        |
| inventorytransactions         | performed_by                | bigint                      |
| inventorytransactions         | is_deleted                  | boolean                     |
| inventorytransactions         | deleted_at                  | timestamp without time zone |
| inventorytransactions         | deleted_by                  | bigint                      |
| inventorytransactions         | balance_after               | integer                     |
| inventorytransactions         | created_at                  | timestamp with time zone    |
| inventorytransactions         | created_by                  | bigint                      |
| inventorytransactions         | updated_at                  | timestamp with time zone    |
| inventorytransactions         | updated_by                  | bigint                      |
| inventorytransactions_history | history_id                  | bigint                      |
| inventorytransactions_history | transaction_id              | bigint                      |
| inventorytransactions_history | version_no                  | integer                     |
| inventorytransactions_history | changed_at                  | timestamp with time zone    |
| inventorytransactions_history | changed_by                  | bigint                      |
| inventorytransactions_history | changed_fields              | jsonb                       |
| inventorytransactions_history | snapshot                    | jsonb                       |
| messages                      | message_id                  | bigint                      |
| messages                      | conversation_id             | bigint                      |
| messages                      | sender_id                   | bigint                      |
| messages                      | message_type                | USER-DEFINED                |
| messages                      | message_content             | text                        |
| messages                      | attachment_url              | text                        |
| messages                      | created_at                  | timestamp without time zone |
| messages                      | delivered_at                | timestamp without time zone |
| messages                      | read_at                     | timestamp without time zone |
| messages                      | is_deleted                  | boolean                     |
| messages                      | deleted_at                  | timestamp without time zone |
| messages                      | deleted_by                  | bigint                      |
| messages                      | created_by                  | bigint                      |
| messages                      | updated_at                  | timestamp with time zone    |
| messages                      | updated_by                  | bigint                      |
| monthlyreports_view           | report_month                | text                        |
| monthlyreports_view           | total_patients_seen         | bigint                      |
| monthlyreports_view           | male_vaccinated             | bigint                      |
| monthlyreports_view           | female_vaccinated           | bigint                      |
| monthlyreports_view           | total_vaccinated            | bigint                      |
| monthlyreports_view           | vitamina_given              | bigint                      |
| monthlyreports_view           | deworming_given             | bigint                      |
| monthlyreports_view           | vaccines_used_by_antigen    | json                        |
| monthlyreports_view           | vaccines_used_by_brand      | json                        |
| notifications                 | notification_id             | bigint                      |
| notifications                 | channel                     | character varying           |
| notifications                 | recipient_user_id           | bigint                      |
| notifications                 | recipient_phone             | character varying           |
| notifications                 | recipient_email             | character varying           |
| notifications                 | template_code               | character varying           |
| notifications                 | message_body                | text                        |
| notifications                 | related_entity_type         | character varying           |
| notifications                 | related_entity_id           | bigint                      |
| notifications                 | scheduled_at                | timestamp without time zone |
| notifications                 | sent_at                     | timestamp without time zone |
| notifications                 | status                      | character varying           |
| notifications                 | error_message               | text                        |
| notifications                 | created_by                  | bigint                      |
| notifications                 | created_at                  | timestamp without time zone |
| notifications                 | is_deleted                  | boolean                     |
| notifications                 | deleted_at                  | timestamp without time zone |
| notifications                 | deleted_by                  | bigint                      |
| notifications                 | updated_at                  | timestamp with time zone    |
| notifications                 | updated_by                  | bigint                      |
| notifications                 | read_at                     | timestamp with time zone    |
| notifications_view            | notification_id             | bigint                      |
| notifications_view            | channel                     | character varying           |
| notifications_view            | recipient_user_id           | bigint                      |
| notifications_view            | recipient_phone             | character varying           |
| notifications_view            | recipient_email             | character varying           |
| notifications_view            | template_code               | character varying           |
| notifications_view            | message_body                | text                        |
| notifications_view            | related_entity_type         | character varying           |
| notifications_view            | related_entity_id           | bigint                      |
| notifications_view            | scheduled_at                | timestamp without time zone |
| notifications_view            | sent_at                     | timestamp without time zone |
| notifications_view            | status                      | character varying           |
| notifications_view            | error_message               | text                        |
| notifications_view            | created_by                  | bigint                      |
| notifications_view            | created_at                  | timestamp without time zone |
| notifications_view            | is_deleted                  | boolean                     |
| notifications_view            | deleted_at                  | timestamp without time zone |
| notifications_view            | deleted_by                  | bigint                      |
| notifications_view            | recipient_name              | text                        |
| patients                      | patient_id                  | bigint                      |
| patients                      | surname                     | character varying           |
| patients                      | firstname                   | character varying           |
| patients                      | middlename                  | character varying           |
| patients                      | sex                         | character varying           |
| patients                      | date_of_birth               | date                        |
| patients                      | address                     | text                        |
| patients                      | barangay                    | character varying           |
| patients                      | health_center               | character varying           |
| patients                      | date_registered             | timestamp without time zone |
| patients                      | mother_name                 | character varying           |
| patients                      | mother_occupation           | character varying           |
| patients                      | mother_contact_number       | character varying           |
| patients                      | father_name                 | character varying           |
| patients                      | father_occupation           | character varying           |
| patients                      | father_contact_number       | character varying           |
| patients                      | guardian_id                 | bigint                      |
| patients                      | family_number               | character varying           |
| patients                      | tags                        | character varying           |
| patients                      | is_deleted                  | boolean                     |
| patients                      | deleted_at                  | timestamp without time zone |
| patients                      | deleted_by                  | bigint                      |
| patients                      | created_at                  | timestamp with time zone    |
| patients                      | created_by                  | bigint                      |
| patients                      | updated_at                  | timestamp with time zone    |
| patients                      | updated_by                  | bigint                      |
| patients                      | full_name                   | text                        |
| patients_history              | history_id                  | bigint                      |
| patients_history              | patient_id                  | bigint                      |
| patients_history              | version_no                  | integer                     |
| patients_history              | changed_at                  | timestamp with time zone    |
| patients_history              | changed_by                  | bigint                      |
| patients_history              | changed_fields              | jsonb                       |
| patients_history              | snapshot                    | jsonb                       |
| patients_view                 | patient_id                  | bigint                      |
| patients_view                 | firstname                   | character varying           |
| patients_view                 | middlename                  | character varying           |
| patients_view                 | surname                     | character varying           |
| patients_view                 | patient_name                | text                        |
| patients_view                 | date_of_birth               | date                        |
| patients_view                 | sex                         | character varying           |
| patients_view                 | age_months                  | integer                     |
| patients_view                 | age_days                    | integer                     |
| patients_view                 | created_at                  | timestamp with time zone    |
| patients_view                 | updated_at                  | timestamp with time zone    |
| patients_view                 | created_by                  | bigint                      |
| patients_view                 | updated_by                  | bigint                      |
| patients_view                 | is_deleted                  | boolean                     |
| patients_view                 | deleted_at                  | timestamp without time zone |
| patients_view                 | deleted_by                  | bigint                      |
| patientschedule               | patient_schedule_id         | bigint                      |
| patientschedule               | patient_id                  | bigint                      |
| patientschedule               | vaccine_id                  | bigint                      |
| patientschedule               | dose_number                 | integer                     |
| patientschedule               | scheduled_date              | date                        |
| patientschedule               | eligible_date               | date                        |
| patientschedule               | actual_date                 | date                        |
| patientschedule               | status                      | character varying           |
| patientschedule               | updated_by                  | bigint                      |
| patientschedule               | updated_at                  | timestamp without time zone |
| patientschedule               | is_deleted                  | boolean                     |
| patientschedule               | deleted_at                  | timestamp without time zone |
| patientschedule               | deleted_by                  | bigint                      |
| patientschedule               | created_at                  | timestamp with time zone    |
| patientschedule               | created_by                  | bigint                      |
| patientschedule_history       | history_id                  | bigint                      |
| patientschedule_history       | patient_schedule_id         | bigint                      |
| patientschedule_history       | version_no                  | integer                     |
| patientschedule_history       | changed_at                  | timestamp with time zone    |
| patientschedule_history       | changed_by                  | bigint                      |
| patientschedule_history       | changed_fields              | jsonb                       |
| patientschedule_history       | snapshot                    | jsonb                       |
| patientschedule_view          | patientschedule_id          | bigint                      |
| patientschedule_view          | patient_id                  | bigint                      |
| patientschedule_view          | patient_name                | text                        |
| patientschedule_view          | vaccine_id                  | bigint                      |
| patientschedule_view          | antigen_name                | character varying           |
| patientschedule_view          | dose_number                 | integer                     |
| patientschedule_view          | scheduled_date              | date                        |
| patientschedule_view          | eligible_date               | date                        |
| patientschedule_view          | actual_date                 | date                        |
| patientschedule_view          | status                      | character varying           |
| patientschedule_view          | days_overdue                | integer                     |
| patientschedule_view          | created_at                  | timestamp with time zone    |
| patientschedule_view          | updated_at                  | timestamp without time zone |
| patientschedule_view          | created_by                  | bigint                      |
| patientschedule_view          | updated_by                  | bigint                      |
| schedule_doses                | id                          | bigint                      |
| schedule_doses                | schedule_id                 | bigint                      |
| schedule_doses                | dose_number                 | integer                     |
| schedule_doses                | due_after_days              | integer                     |
